date,time,weekDay,latitude,longitude,temperature,power
2020-04-01,09:30:00,Wednesday,-36.850265,174.762519,14.2,0.99
2020-04-01,09:30:12,Wednesday,-36.850342960643964,174.76253932584433,14.4,0.99
2020-04-01,09:30:24,Wednesday,-36.850391454433684,174.76246848950842,14.4,0.99
2020-04-01,09:30:36,Wednesday,-36.85030602325232,174.7625146782666,14.3,0.99
2020-04-01,09:30:48,Wednesday,-36.85040234696276,174.762587479952,14.5,0.99
2020-04-01,09:31:00,Wednesday,-36.850321663921335,174.76267348478785,14.4,0.99
2020-04-01,09:31:12,Wednesday,-36.85039167465021,174.76259761792338,14.2,0.99
2020-04-01,09:31:24,Wednesday,-36.85046266832504,174.7625976646265,14.3,0.99
2020-04-01,09:31:36,Wednesday,-36.85053808784867,174.76250544890894,14.2,0.99
2020-04-01,09:31:48,Wednesday,-36.850566376163236,174.76247662811795,14.3,0.99
2020-04-01,09:32:00,Wednesday,-36.85047107667134,174.76245255292883,14.5,0.99
2020-04-01,09:32:12,Wednesday,-36.85044726852514,174.76240582613397,14.2,0.99
2020-04-01,09:32:24,Wednesday,-36.85041000692972,174.76248835822872,14.2,0.99
2020-04-01,09:32:36,Wednesday,-36.85043117332454,174.7623988573344,14.4,0.99
2020-04-01,09:32:48,Wednesday,-36.85047153994206,174.76241437091335,14.3,0.99
2020-04-01,09:33:00,Wednesday,-36.85048609564812,174.76240557606386,14.1,0.99
2020-04-01,09:33:12,Wednesday,-36.85057660744593,174.76249597777917,14.4,0.99
2020-04-01,09:33:24,Wednesday,-36.85059340904194,174.76251450947416,14.6,0.99
2020-04-01,09:33:36,Wednesday,-36.85054073906927,174.76244350675344,14.2,0.99
2020-04-01,09:33:48,Wednesday,-36.850469766170605,174.76251691240032,14.4,0.99
2020-04-01,09:34:00,Wednesday,-36.85055496551152,174.7624293628121,14.2,0.99
2020-04-01,09:34:12,Wednesday,-36.85051255336381,174.76252273840328,14.3,0.99
2020-04-01,09:34:24,Wednesday,-36.850518998991504,174.76242838190612,14.6,0.99
2020-04-01,09:34:36,Wednesday,-36.850445668616146,174.76249359383706,14.4,0.99
2020-04-01,09:34:48,Wednesday,-36.85043986830978,174.76239687897086,14.2,0.99
2020-04-01,09:35:00,Wednesday,-36.85050831739867,174.76239876595818,14.4,0.99
2020-04-01,09:35:12,Wednesday,-36.85049304202192,174.76239779458467,14.6,0.99
2020-04-01,09:35:24,Wednesday,-36.85059287091933,174.7624591459291,14.3,0.99
2020-04-01,09:35:36,Wednesday,-36.850606894988346,174.76239219818135,14.5,0.99
2020-04-01,09:35:48,Wednesday,-36.850537545437156,174.76247051209072,14.6,0.99
2020-04-01,09:36:00,Wednesday,-36.850485311714266,174.76247709862608,14.6,0.99
2020-04-01,09:36:12,Wednesday,-36.85047539621495,174.76248128024892,14.4,0.99
2020-04-01,09:36:24,Wednesday,-36.85049795062277,174.76242621575275,14.4,0.99
2020-04-01,09:36:36,Wednesday,-36.85057189510073,174.76241120733346,14.1,0.99
2020-04-01,09:36:48,Wednesday,-36.85066482177695,174.76248311226774,14.4,0.99
2020-04-01,09:37:00,Wednesday,-36.85075530654624,174.7623863082013,14.2,0.99
2020-04-01,09:37:12,Wednesday,-36.85081670447809,174.76247030051073,14.2,0.99
2020-04-01,09:37:24,Wednesday,-36.850830584079944,174.76238430859576,14.2,0.99
2020-04-01,09:37:36,Wednesday,-36.85091430033573,174.76232713180934,14.3,0.99
